"Order","BinomName","depth_median","t_median","rmax","maxwt_all","log_wt","invtemp","invtemp_scaled","depth_scaled"
"skates","Amblyraja_georgiana",637,3.089,0.175918411825969,11893.1391417303,9.38371697012322,42.0106028686907,0.856036395407868,0.819222804134195
"rays","Anoxypristis_cuspidata",20,27.55,0.555295803677736,707515.881050544,13.4695153549622,38.5931723506627,-0.669344633600985,-0.327206023606332
"skates","Rhinoraja_albomaculata",500,4.6255,0.265188630874342,4293.3249492639,8.36481675817712,41.7782235144722,0.752313128295803,0.564667294571063
"skates","Bathyraja_lindbergi",659.5,3.3205,0.217313261893548,4676.06002467675,8.45021115926679,41.9754256813811,0.840334945475526,0.86102936592376
"rays","Dasyatis_chrysonota",55.5,20.274,0.236833404972962,2087.40882293416,7.64367877813479,39.5501626514677,-0.24218895564566,-0.261244559449462
"skates","Zearaja_chilensis",300.5,6.8835,0.267090129872701,23030.6305688462,10.0445803727632,41.4413522876522,0.601949580039505,0.193982446703583
"skates","Dipturus_intermedia",100,9.6935,0.240230226381904,124371.854869556,11.7310311866602,41.0296398037935,0.418180397616854,-0.178560470576766
"skates","Dipturus_trachydermus",260,5.1525,0.224219740528981,193875.586197423,12.1749719240587,41.6991113117714,0.717001143889326,0.118730635482366
"rays","Glaucostegus_typus",50,27.501,0.351886297586343,67218.0461083917,11.1156970337396,38.5994622530584,-0.666537115572987,-0.271463941220245
"rays","Himantura_gerrardi",50,25.806,0.43752339917146,395589.580000001,12.8881325386467,38.8183108077585,-0.568853364051326,-0.271463941220245
"rays","Himantura_astra",71,25.182,0.143622178704908,94595.04,11.4573603223758,38.8995043302236,-0.532612375919098,-0.232444483549984
"skates","Malacoraja_senta",730.5,4.276,0.368042286359254,2824.94737757665,7.94624501600055,41.8308555284806,0.775805595886142,0.9929522942375
"rays","Manta_alfredi",216,17.343,0.0213319481151344,788750.000000001,13.5782046928376,39.9492136672631,-0.0640712599412749,0.0369755813161045
"rays","Neotrygon_annotata",36,25.9435,0.206820076440604,2801.26489409249,7.93782634204611,38.8004651583677,-0.576818826666431,-0.297476913000419
"rays","Neotrygon_picta",52.5,26.289,0.25752286259064,1024.15765131751,6.93162575011414,38.7556962381128,-0.596801577240534,-0.266818767688071
"rays","Pristis_clavata",10,29.137,0.227292147251886,198834.111086186,12.2002261434262,38.3905590575984,-0.759781724226457,-0.345786717735028
"rays","Pristis_pristis",30,27.3195,0.28281211033575,625725.39638695,13.3466668899225,38.6227784378922,-0.656129861986771,-0.308625329477636
"rays","Pristis_zijsron",50,26.547,0.223712853433588,865959.548163036,13.6715934753254,38.7223326421161,-0.611693524896665,-0.271463941220245
"rays","Rhinobatos_horkelii",75.5,20.024,0.262180079751185,9525.3151398828,9.16170828499959,39.5838884957202,-0.227135317323357,-0.224083171192071
"rays","Rhynchobatus_australiae",30,27.802,0.498432478790571,183549.720371044,12.1202408654754,38.5608566344276,-0.683768856777937,-0.308625329477636
"skates","Raja_eglanteria",25,24.9165,0.616667840406346,4854.42483055628,8.48764590420299,38.9341537067878,-0.517146515999135,-0.317915676541984
"rays","Trygonoptera_imitata",60,15.211,0.274655059501074,6100.89513855224,8.71619078342051,40.2445785867169,0.0677658154265267,-0.252883247091549
"rays","Trygonoptera_mucosa",20,18.558,0.155280929292412,1211.09298373469,7.09927852321049,39.7828202375124,-0.138341498869181,-0.327206023606332
"rays","Trygonoptera_personata",57.5,20.296,0.180106135885935,1953.00149647109,7.57712269711862,39.5471975281458,-0.24351244791276,-0.257528420623723
"rays","Urobatis_concentricus",18,23.199,0.336694180307099,1432.12208,7.26691259528355,39.1597978256861,-0.416429542688567,-0.330922162432071
"rays","Urolophus_cruciatus",105.5,13.828,0.0862417617039535,1461.73556303558,7.28737975051347,40.4385246459459,0.154334258541415,-0.168341088805983
"rays","Urolophus_expansus",250,12.6545,0.0905111345332106,1646.83528900267,7.40661071849945,40.6045633495773,0.228446164332753,0.10014994135367
"rays","Urolophus_lobatus",15.5,18.739,0.209465320208425,924.153483674689,6.82887816572034,39.7581509609621,-0.149352709265614,-0.335567335964245
"rays","Urolophus_paucimaculatus",75,15.999,0.195199012228668,2177.00567543419,7.68570566822894,40.1349025099318,0.0188115481834746,-0.225012205898505
"rays","Urotrygon_rogersi",16,26.92,1.16607811083785,680.667568902003,6.52307403557277,38.674199106356,-0.633178082350031,-0.33463830125781
"rays","Zapteryx_exasperata",11.5,18.3845,0.25042586763853,7553.04145028779,8.9297056022221,39.8064960608239,-0.127773719499558,-0.342999613615723
"rays","Acroteriobatus_annulatus",36.5,21.785,0.565979797100247,6984.01570931605,8.85137934684624,39.3475407321758,-0.332629896615437,-0.296547878293984
"rays","Aetobatus_flagellum",30,23.402,0.232729204589086,50000,10.8197782844103,39.132991602971,-0.428394585832332,-0.308625329477636
