"Order","BinomName","depth_median","t_median","rmax","maxwt_all","log_wt","invtemp","invtemp_scaled","depth_scaled"
"skates","Okamejei_kenojei",125,9.179,1.03657808159138,750,6.62007320653036,41.1044098404495,0.451554242337815,-0.132108735255027
"rays","Platyrhina_sinensis",25,25.781,0.518878839505019,519.09,6.25207727853667,38.8215572350953,-0.567404310838579,-0.317915676541984
"rays","Pristis_pectinata",61,26.336,0.186138542635669,350000,12.7656884334656,38.7496140916245,-0.599516362755545,-0.251025177678679
"rays","Rhinobatos_percellens",40,27.6255,0.212612148497535,3725.39942085689,8.22292935214092,38.5834847779964,-0.673668712608376,-0.29004463534894
"rays","Rhinobatos_productus",7,18.49,0.25310284350987,18400,9.82010594359708,39.7920961659726,-0.134201158568161,-0.351360925973636
"rays","Pteroplatytrygon_violacea",50.5,19.1785,0.50934725991422,19877.3521982259,9.89733628211605,39.6983767434385,-0.176033122211342,-0.27053490651381
"skates","Raja_asterias",35,17.7315,0.978735310367467,7029.58954852238,8.85788359739926,39.8958576803415,-0.0878868751541882,-0.299334982413288
"skates","Raja_brachyura",455,12.1275,0.501542490507684,14280,9.56661523589358,40.6795731378895,0.261927022971362,0.481054170991933
"skates","Raja_clavata",513.5,11.466,0.594302151787645,18000,9.7981270368783,40.7741199575718,0.304128297974842,0.589751231644803
"skates","Raja_microocellata",56,15.186,0.651850713375718,4500,8.41183267575841,40.2480679687734,0.0693233122546263,-0.260315524743027
"skates","Raja_miraletus",100,15.241,1.27449978044186,2327.57742273421,7.75258327293061,40.2403921268149,0.0658971756752451,-0.178560470576766
"skates","Raja_montagui",404,13.2925,0.604184513856498,3697.38272313215,8.21538047620016,40.5141238672483,0.188078212478192,0.386292630935584
"skates","Raja_radula",175.5,14.65,0.67822785548643,2465.95141409151,7.81033298121532,40.3230261495631,0.102781135710693,-0.0382762299051132
"skates","Raja_undulata",102,14.869,0.368569332473292,12785.9515442751,9.45610231157095,40.2923658711552,0.0890958224963419,-0.174844331751027
"rays","Rhinobatos_rhinobatos",55,17.19,0.524552616446486,21218.483135285,9.96262792682714,39.9702656397474,-0.0546746447705008,-0.262173594155897
"rays","Rhinoptera_bonasus",30,27.271,0.0526560114586881,24296.6346016881,10.0980931259798,38.6290137035835,-0.653346731226362,-0.308625329477636
"rays","Rhinoptera_steindachneri",12.5,26.783,0.112937277508282,18814.7603290065,9.84239696465284,38.6918642691677,-0.625293180496131,-0.341141544202854
"skates","Rostroraja_alba",275,13.587,0.200638593576316,96388.3066615751,11.47614017305,40.4725128805988,0.169505015657195,0.146601676675409
"rays","Torpedo_californica",101.5,8.8385,0.286401435973207,41000,10.6213273456864,41.1540432529846,0.473708274581259,-0.175773366457462
"rays","Torpedo_marmorata",744,13.118,0.228964974292138,3000,8.00636756765025,40.5388200072808,0.199101413475737,1.01803623131124
"rays","Urobatis_halleri",11,24.92,0.567451449794664,1360,7.2152399787301,38.9336965338486,-0.51735057660101,-0.343928648322158
"rays","Urobatis_jamaicensis",35.5,27.43,0.369357483846972,4221.12522369429,8.3478570121736,38.608579831806,-0.662467455172061,-0.298405947706854
"rays","Urotrygon_aspidura",52.5,20,0.551035050570791,516.213185229008,6.24651982982736,39.5871292029482,-0.2256888172994,-0.266818767688071
"rays","Zapteryx_brevirostris",70,21.1865,0.16811061283948,1272,7.14834574390007,39.4275495082814,-0.296917723805518,-0.234302552962853
